filename,flair_dice,flair_sens,flair_prec,t1c_dice,t1c_sens,t1c_prec,t2_dice,t2_sens,t2_prec,fus2_dice,fus2_sens,fus2_prec,fus3_dice,fus3_sens,fus3_prec
BRATS_401.nii.gz,0.858,0.903,0.817,0.439,0.308,0.766,0.846,0.755,0.963,0.573,0.797,0.448,0.809,0.900,0.735
BRATS_402.nii.gz,0.191,0.106,1.000,0.296,0.175,0.951,0.683,0.628,0.749,0.368,0.521,0.284,0.795,0.755,0.839
BRATS_403.nii.gz,0.512,0.344,1.000,0.001,0.000,1.000,0.543,0.372,1.000,0.371,0.266,0.612,0.515,0.347,1.000
BRATS_404.nii.gz,0.684,0.520,1.000,0.781,0.640,1.000,0.743,0.595,0.989,0.770,0.626,1.000,0.705,0.544,1.000
BRATS_405.nii.gz,0.759,0.983,0.619,0.001,0.001,1.000,0.348,0.211,1.000,0.321,0.985,0.192,0.890,0.802,1.000
BRATS_406.nii.gz,0.630,0.984,0.463,0.163,0.661,0.093,0.241,0.137,1.000,0.264,0.920,0.154,0.673,0.976,0.513
BRATS_407.nii.gz,0.889,0.809,0.985,0.279,0.162,0.998,0.649,0.481,1.000,0.853,0.843,0.864,0.915,0.848,0.994
BRATS_408.nii.gz,0.399,0.971,0.251,0.001,0.001,1.000,0.573,0.401,1.000,0.300,0.981,0.177,0.458,0.933,0.304
BRATS_409.nii.gz,0.888,0.948,0.835,0.001,0.000,1.000,0.779,0.832,0.732,0.848,0.747,0.982,0.915,0.956,0.877
BRATS_410.nii.gz,0.939,0.889,0.995,0.001,0.000,1.000,0.841,0.742,0.972,0.704,0.544,1.000,0.789,0.651,1.000
BRATS_411.nii.gz,0.759,0.744,0.775,0.649,0.480,1.000,0.437,0.282,0.965,0.675,0.510,0.998,0.857,0.753,0.995
BRATS_412.nii.gz,0.769,0.680,0.887,0.000,0.000,1.000,0.496,0.330,1.000,0.814,0.732,0.917,0.564,0.393,1.000
BRATS_413.nii.gz,0.341,0.955,0.208,0.000,0.000,0.000,0.000,0.000,0.000,0.196,0.820,0.111,0.366,0.958,0.226
BRATS_414.nii.gz,0.693,0.533,0.993,0.641,0.472,0.997,0.641,0.477,0.977,0.622,0.452,0.996,0.628,0.460,0.993
BRATS_415.nii.gz,0.842,0.728,0.999,0.443,0.285,0.993,0.811,0.682,1.000,0.702,0.728,0.678,0.874,0.777,0.999
BRATS_416.nii.gz,0.596,0.424,1.000,0.001,0.000,1.000,0.891,0.803,1.000,0.683,0.526,0.974,0.929,0.868,1.000
BRATS_417.nii.gz,0.556,0.396,0.932,0.001,0.000,1.000,0.567,0.396,1.000,0.083,0.044,0.994,0.559,0.399,0.935
BRATS_418.nii.gz,0.491,0.625,0.404,0.182,0.365,0.121,0.409,0.257,1.000,0.486,0.321,0.996,0.691,0.532,0.986
BRATS_419.nii.gz,0.896,0.956,0.843,0.001,0.000,1.000,0.601,0.430,1.000,0.855,0.974,0.762,0.853,0.745,0.998
BRATS_420.nii.gz,0.701,0.717,0.685,0.001,0.000,1.000,0.757,0.612,0.994,0.678,0.847,0.566,0.751,0.602,0.998
